symbol;company;purpose;bm_desc;date
ANGELONE;Angel One Limited;Other business matters;To consider and approve the financial results for the  quarter ended June 30,2024;15-Jul-2024
ATAM;Atam Valves Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
CRISIL;CRISIL Limited;Financial Results/Dividend;To consider and approve the unaudited consolidated and standalone financial results for the period ended Jun 30, 2024 and to consider the payment of second Interim Dividend for the financial year ending December 31, 2024. The unaudited financial results for the quarter ended June 30, 2024, and the proposal for dividend will be presented to the Board of Directors on July 16, 2024, for their approval.;15-Jul-2024
DAVANGERE;Davangere Sugar Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
DEN;Den Networks Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
GANESHHOUC;Ganesh Housing Corporation Limited;Financial Results;to approve and take on record the Standalone and Consolidated Unaudited Financial Results of the Company under Indian Accounting Standards (IND AS) for the quarter ended June 30, 2024;15-Jul-2024
HATSUN;Hatsun Agro Product Limited;Financial Results/Dividend/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024, proposal for declaration of First Interim dividend for the FY2024-25, if any and other business matters;15-Jul-2024
HDFCAMC;HDFC Asset Management Company Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
HDFCLIFE;HDFC Life Insurance Company Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;15-Jul-2024
JIOFIN;Jio Financial Services Limited;Financial Results;We wish to inform you that pursuant to Regulation 29 and other applicable provisions ofthe Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, a meeting of the Board of Directors of the Company is scheduled to be held on Monday, July 15, 2024, inter alia, to consider and approve the standalone and consolidated unaudited financial results of the Company for the quarter ended June 30, 2024.;15-Jul-2024
KBCGLOBAL;KBC Global Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended March 31, 2024 and other business matters;15-Jul-2024
KELLTONTEC;Kellton Tech Solutions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
MAHABANK;Bank of Maharashtra;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
MAXESTATES;Max Estates Limited;Fund Raising;To consider Fund Raising;15-Jul-2024
MONARCH;Monarch Networth Capital Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
PATINTLOG;Patel Integrated Logistics Limited;Other business matters;This is to inform you that a Meeting of the Board of Directors of the Company is scheduled to be held on Monday, 15th July, 2024 at 11:30 a.m. inter alia :1. To consider and adopt Notice and Draft Annual Report of the 62nd Annual General Meeting (AGM) of the company.2. To transact any other matter with permission of the board.;15-Jul-2024
SCPL;Sheetal Cool Products Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
STYRENIX;Styrenix Performance Materials Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;15-Jul-2024
UDAICEMENT;Udaipur Cement Works Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
UEL;Ujaas Energy Limited;Bonus/Other business matters;To consider bonus and other business matters;15-Jul-2024
VHLTD;Viceroy Hotels Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;15-Jul-2024
WALCHANNAG;Walchandnagar Industries Limited;Fund Raising;To consider Fund Raising through issuance of Unlisted, Secured, Redeemable, Non-Convertible Debentures aggregating to                                   INR 74,00,00,000;15-Jul-2024
