symbol;company;purpose;bm_desc;date
ABSLAMC;Aditya Birla Sun Life AMC Limited;Financial Results;To consider and approve the unaudited financial results for the period ended Jun 30, 2024;24-Jul-2024
AURIONPRO;Aurionpro Solutions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
AXISBANK;Axis Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
BAJAJFINSV;Bajaj Finserv Limited;Other business matters;to consider and approve the standalone and consolidated unaudited financial results of the Company for the quarter ending 30 June 2024.;24-Jul-2024
BAJAJHLDNG;Bajaj Holdings & Investment Limited;Other business matters;To consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ending 30 June 2024;24-Jul-2024
BIKAJI;Bikaji Foods International Limited;Other business matters;To consider other business matters - Scheme of Arrangement;24-Jul-2024
BIKAJI;Bikaji Foods International Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
BLISSGVS;Bliss GVS Pharma Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;24-Jul-2024
BUTTERFLY;Butterfly Gandhimathi Appliances Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
CGPOWER;CG Power and Industrial Solutions Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
CMSINFO;CMS Info Systems Limited;Financial Results;To consider and approve the unaudited financial results (Standalone and Consolidated) of the Company for the quarter ended June 30, 2024;24-Jul-2024
COMPUSOFT;Compucom Software Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
CRAFTSMAN;Craftsman Automation Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;24-Jul-2024
CYBERTECH;Cybertech Systems And Software Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;24-Jul-2024
DANGEE;Dangee Dums Limited;Financial Results/Other business matters;To consider and approve the financial results for the period ended Jun 30, 2024 and other business matters;24-Jul-2024
DCBBANK;DCB Bank Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
DISHTV;Dish TV India Limited;Fund Raising;Notice of Board Meeting   July 24, 2024;24-Jul-2024
EIFFL;Euro India Fresh Foods Limited;Other business matters;To Consider and Approve appointment of Mrs. NEHA OSWAL as Company Secretary and Compliance Officer;24-Jul-2024
EPACK;EPACK Durable Limited;Financial Results;Intimation of Board meeting for consideration and approval of the Unaudited Financial Results for the Quarter ended June 30, 2024;24-Jul-2024
EPIGRAL;Epigral Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
FEDERALBNK;The Federal Bank  Limited;Financial Results/Fund Raising;To consider and approve the financial results for the period ended Jun 30, 2024 and Fund Raising;24-Jul-2024
GOCOLORS;Go Fashion (India) Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
HEUBACHIND;Heubach Colorants India Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
HFCL;HFCL Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
HONDAPOWER;Honda India Power Products Limited;Other business matters;To consider other business matters;24-Jul-2024
IEX;Indian Energy Exchange Limited;Financial Results;To consider and approve the financial results for the period ended Jun 30, 2024;24-Jul-2024
IGL;Indraprastha Gas Limited;Financial Results;To consider and approve the Unaudited financial results for the period ended Jun 30, 2024;24-Jul-2024
INDIGRID;India Grid Trust;Financial Results/Other business matters;"This is to inform you that a meeting of the Board of Directors of IndiGrid Investment Managers Limited acting in the capacity of Investment Manager to India Grid Trust ( IndiGrid ) is scheduled to be held on Wednesday, July 24, 2024, to consider and approve, inter-alia, the below matters:1) Unaudited Financial Information of IndiGrid for the period ended on June 30, 2024, along with the limited review report; 2) Distribution of income to unitholders of IndiGrid for Q1 FY 25;The Record Date for the purpose of above Distribution, if declared, will be July 30, 2024.";24-Jul-2024
IRISDOREME;Iris Clothings Limited;Fund Raising/Other business matters;To consider Fund Raising and other business matters;24-Jul-2024
